City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast,Clinton Percentage,Trump Percentage,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,1,1,755,189,23,20,0,0,0,0,0,18,0,11,1016,74.31102362,18.6023622,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.2,0.4,2.9,0.2,10.1,3.5,29.3,79.7
Boston,1,2,562,142,21,12,0,0,0,0,0,7,0,11,755,74.43708609,18.80794702,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.9,0.1,2,0,16.9,4.5,51.8,73.4
Boston,1,3,1276,251,45,34,0,0,0,0,0,15,0,15,1636,77.99511002,15.34229829,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.7,0.3,7.2,0,15.5,5.7,41.3,62.6
Boston,1,4,366,88,10,13,0,0,0,0,0,8,0,7,492,74.3902439,17.88617886,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3,0.6,2,0.1,29.5,6.6,63.9,58.2
Boston,1,5,652,153,28,10,0,0,0,0,0,13,0,11,867,75.20184544,17.64705882,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.7,0.8,2.6,0.2,31,5.3,57.6,57.4
Boston,1,6,556,138,19,14,0,0,0,0,0,13,0,6,746,74.5308311,18.49865952,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.1,0.6,2.4,0,29.9,4.5,59,59.4
Boston,1,7,604,143,17,13,0,0,0,0,0,18,0,11,806,74.93796526,17.74193548,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.5,0.5,3,0,27.3,5.8,60.8,58.9
Boston,1,8,859,187,27,16,0,0,0,0,0,20,0,14,1123,76.49154052,16.65182547,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.1,0.6,6.6,0,24.9,5.2,57.5,58.6
Boston,1,9,551,146,25,13,0,0,0,0,0,14,0,12,761,72.40473062,19.18528252,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3,0.4,2,0,23.8,4.4,58.3,66.5
Boston,1,10,364,105,10,6,0,0,0,0,0,8,0,3,496,73.38709677,21.16935484,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.3,0.4,3.4,0.1,25.4,5.2,62.6,63.2
Boston,1,11,644,345,26,12,0,0,0,0,0,19,0,12,1058,60.86956522,32.60869565,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.9,0.5,3.2,0.1,12.4,2.3,33.9,78.7
Boston,1,12,582,364,37,12,0,0,0,0,0,10,0,16,1021,57.0029383,35.65132223,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.8,0.5,2.7,0,9.5,2.7,26,82.7
Boston,1,13,927,361,27,17,0,0,0,0,0,16,0,19,1367,67.8127286,26.40819312,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.6,0.4,3.8,0,14.9,4,41.9,68.3
Boston,1,14,425,219,16,4,0,0,0,0,0,7,0,7,678,62.68436578,32.30088496,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.6,0.1,4.5,0.1,3.5,1.7,17.7,87.4
Boston,1,15,1,0,0,0,0,0,0,0,0,0,0,0,1,100,0,530,208,217,2,7,1,78,17,530,165,204,130,2,7,1,13,8,40.9,0.4,1.3,0.2,14.7,3.2,24.5,39.2
Boston,2,1,1164,384,93,11,0,0,0,0,0,34,0,23,1709,68.11000585,22.46928028,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.7,0,3,0.1,0.9,0.4,2.1,95
Boston,2,2,1530,378,61,25,0,0,0,0,0,43,0,30,2067,74.0203193,18.287373,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.9,0.3,16.2,0.2,5.9,2.3,14.5,65.2
Boston,2,3,876,211,53,12,0,0,0,0,0,31,0,17,1200,73,17.58333333,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.4,0.2,1.5,0,0.4,1.1,1.6,96.5
Boston,2,4,821,187,43,9,0,0,0,0,0,23,0,35,1118,73.43470483,16.72629696,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.1,0.3,10,0,6.2,3,15.8,71.4
Boston,2,5,875,280,61,5,0,0,0,0,0,33,0,22,1276,68.57366771,21.94357367,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.4,0,1.4,0.1,0.2,0.6,1.1,97.4
Boston,2,6,1028,381,71,14,0,0,0,0,0,36,0,29,1559,65.93970494,24.43874278,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.8,0.1,7.1,0,1.3,1.3,4.1,88.4
Boston,2,7,779,290,51,11,0,0,0,0,0,28,0,17,1176,66.2414966,24.65986395,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.9,0,4.6,0,0.4,0.7,2.1,92.4
Boston,3,1,1165,434,89,15,0,0,0,0,0,42,0,13,1758,66.26848692,24.68714448,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.2,0.2,3.4,0,1.3,1.4,3.9,90.5
Boston,3,2,856,298,54,7,0,0,0,0,0,31,0,17,1263,67.77513856,23.59461599,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.1,0.1,2.4,0.1,1.1,0.5,3.8,94.9
Boston,3,3,916,329,67,18,2,0,0,0,0,27,0,12,1371,66.81254559,23.99708242,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.6,0.3,2.9,0,0.8,0.9,3.1,94.6
Boston,3,4,931,361,64,16,7,0,0,0,0,28,0,15,1422,65.47116737,25.38677918,1910,1823,14,6,37,2,9,19,1910,1766,14,69,5,37,2,4,13,0.7,0.3,1.9,0.1,0.5,1,3.6,95.4
Boston,3,5,1684,386,76,24,4,0,0,0,0,32,0,23,2229,75.5495738,17.31718259,4660,3353,541,4,640,0,49,73,4660,3006,536,404,4,637,0,9,64,11.6,0.1,13.7,0,1.1,1.6,8.7,72
Boston,3,6,2121,536,131,23,1,0,0,0,0,69,0,23,2904,73.03719008,18.45730028,5373,4484,246,11,455,3,79,95,5373,4291,226,284,10,454,3,18,87,4.6,0.2,8.5,0.1,1.5,1.8,5.3,83.5
Boston,3,7,2451,223,83,17,0,0,0,0,0,41,0,21,2836,86.42454161,7.863187588,3951,2911,233,10,629,0,96,72,3951,2788,210,262,7,627,0,9,48,5.9,0.3,15.9,0,2.4,1.8,6.6,73.7
Boston,3,8,2941,433,115,35,0,0,0,0,0,63,0,34,3621,81.22065728,11.95802265,7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.8,0.1,46,0.1,1.3,1.9,4.9,45.8
Boston,4,1,1283,121,51,15,1,0,0,0,0,22,0,9,1502,85.41944075,8.055925433,2011,1736,70,4,129,0,35,37,2011,1667,64,102,4,129,0,18,27,3.5,0.2,6.4,0,1.7,1.8,5.1,86.3
Boston,4,2,1731,324,76,24,0,0,0,0,0,41,0,32,2228,77.6929982,14.54219031,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11,0.2,13.3,0,1.5,2,6,71.9
Boston,4,3,858,73,48,10,0,0,0,0,0,27,0,7,1023,83.87096774,7.135874878,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.8,0.1,6.1,0,2,2.3,7,73.7
Boston,4,4,1214,82,48,9,0,0,0,0,0,18,0,15,1386,87.59018759,5.916305916,2256,1625,358,5,143,1,54,70,2256,1520,337,199,3,143,1,8,45,15.9,0.2,6.3,0,2.4,3.1,8.8,72
Boston,4,5,901,114,35,17,0,0,0,0,0,20,0,8,1095,82.28310502,10.4109589,2953,2098,294,5,448,1,47,60,2953,1947,282,215,5,445,1,7,51,10,0.2,15.2,0,1.6,2,7.3,71
Boston,4,6,741,98,37,10,0,0,0,0,0,18,0,7,911,81.33918771,10.75740944,2498,1639,235,9,437,0,84,94,2498,1494,222,264,8,437,0,14,59,9.4,0.4,17.5,0,3.4,3.8,10.6,65.6
Boston,4,7,819,76,22,20,0,0,0,0,0,16,0,6,959,85.40145985,7.924921794,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.1,0.2,18.1,0,2.8,3.4,8,68.3
Boston,4,8,795,113,29,26,0,0,0,0,0,11,0,4,978,81.28834356,11.55419223,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.3,0.2,15.5,0,2.5,2.5,7.3,73
Boston,4,9,689,24,22,22,0,0,0,0,0,8,0,5,770,89.48051948,3.116883117,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.5,0.3,10.4,0.1,5.1,3.7,13.2,71
Boston,4,10,390,45,10,7,0,0,0,0,0,9,0,4,465,83.87096774,9.677419355,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.5,0.1,10.8,0.1,2.8,3.1,6.3,76.6
Boston,5,1,2512,301,89,37,2,0,0,0,0,58,0,57,3056,82.19895288,9.84947644,6467,4012,300,8,1921,1,103,122,6467,3858,277,288,7,1920,1,18,98,4.6,0.1,29.7,0,1.6,1.9,4.5,62
Boston,5,2,1389,153,53,28,0,0,0,0,0,25,0,19,1667,83.32333533,9.178164367,4207,3131,194,8,606,2,130,136,4207,2904,178,401,5,601,2,11,105,4.6,0.2,14.4,0,3.1,3.2,9.5,74.4
Boston,5,3,1077,191,59,9,0,0,0,0,0,44,0,15,1395,77.20430108,13.69175627,1873,1744,20,0,92,0,8,9,1873,1695,17,58,0,92,0,3,8,1.1,0,4.9,0,0.4,0.5,3.1,93.1
Boston,5,4,1371,174,75,7,0,0,0,0,0,48,0,9,1684,81.41330166,10.33254157,2702,2405,70,2,153,1,29,42,2702,2324,68,106,2,152,1,12,37,2.6,0.1,5.7,0,1.1,1.6,3.9,89
Boston,5,5,449,87,23,4,3,0,0,0,0,13,0,14,593,75.71669477,14.67116358,677,636,4,1,21,0,1,14,677,624,4,17,1,21,0,1,9,0.6,0.1,3.1,0,0.1,2.1,2.5,93.9
Boston,5,6,1020,227,53,14,0,0,0,0,0,46,0,20,1380,73.91304348,16.44927536,2212,1965,77,3,114,0,21,32,2212,1896,65,104,3,114,0,4,26,3.5,0.1,5.2,0,0.9,1.4,4.7,88.8
Boston,5,7,1296,268,76,27,0,0,0,0,0,40,0,15,1722,75.26132404,15.56329849,2626,2323,54,2,175,1,26,45,2626,2231,50,126,2,175,1,3,38,2.1,0.1,6.7,0,1,1.7,4.8,88.5
Boston,5,8,1136,209,71,17,2,0,0,0,0,38,0,21,1494,76.03748327,13.9892905,2585,2200,65,1,214,0,34,71,2585,2108,63,125,1,212,0,15,61,2.5,0,8.3,0,1.3,2.7,4.8,85.1
Boston,5,9,1572,243,94,21,5,0,0,0,0,48,0,28,2011,78.17006464,12.08354053,4112,3372,89,3,513,0,53,82,4112,3174,84,262,3,506,0,13,70,2.2,0.1,12.5,0,1.3,2,6.4,82
Boston,5,10,1025,175,30,21,0,0,0,0,0,35,0,14,1300,78.84615385,13.46153846,6184,4078,207,15,1529,0,110,245,6184,3749,197,478,12,1517,0,21,210,3.3,0.2,24.7,0,1.8,4,7.7,65.9
Boston,5,11,723,120,33,8,1,0,0,0,0,16,0,10,911,79.36333699,13.17233809,1322,1222,11,0,68,0,7,14,1322,1179,11,51,0,67,0,2,12,0.8,0,5.1,0,0.5,1.1,3.9,92.4
Boston,6,1,2669,668,131,21,1,0,0,0,0,66,0,37,3593,74.28332869,18.5917061,4089,3123,260,7,332,2,253,112,4089,2899,190,582,4,330,2,16,66,6.4,0.2,8.1,0,6.2,2.7,14.2,76.4
Boston,6,2,706,203,40,9,0,0,0,0,0,22,0,9,989,71.38523761,20.52578362,1387,1089,85,1,102,0,90,20,1387,1055,66,143,1,97,0,11,14,6.1,0.1,7.4,0,6.5,1.4,10.3,78.5
Boston,6,3,950,330,63,8,0,0,0,0,0,35,0,14,1400,67.85714286,23.57142857,1848,1711,22,10,78,1,8,18,1848,1686,19,38,7,78,1,3,16,1.2,0.5,4.2,0.1,0.4,1,2.1,92.6
Boston,6,4,880,358,70,17,0,0,0,0,0,35,0,25,1385,63.53790614,25.84837545,1801,1666,14,4,77,0,12,28,1801,1646,14,40,2,77,0,2,20,0.8,0.2,4.3,0,0.7,1.6,2.2,92.5
Boston,6,5,805,360,59,16,0,0,0,0,0,40,0,16,1296,62.11419753,27.77777778,1678,1617,8,2,31,1,11,8,1678,1598,7,28,1,31,1,5,7,0.5,0.1,1.8,0.1,0.7,0.5,1.7,96.4
Boston,6,6,683,367,57,12,0,0,0,0,0,33,0,23,1175,58.12765957,31.23404255,1503,1459,14,1,13,0,6,10,1503,1453,12,12,1,13,0,4,8,0.9,0.1,0.9,0,0.4,0.7,0.8,97.1
Boston,6,7,742,411,66,7,0,0,0,0,0,26,0,25,1277,58.10493344,32.18480814,1526,1491,7,1,12,2,3,10,1526,1477,7,20,1,12,1,0,8,0.5,0.1,0.8,0.1,0.2,0.7,1.3,97.7
Boston,6,8,693,370,64,8,0,0,0,0,0,28,0,18,1181,58.67908552,31.32938188,1545,1518,3,1,10,0,3,10,1545,1512,3,10,1,9,0,0,10,0.2,0.1,0.6,0,0.2,0.6,0.6,98.3
Boston,6,9,588,439,43,5,4,0,0,0,0,18,0,18,1115,52.73542601,39.37219731,1572,1543,17,2,1,0,4,5,1572,1530,15,18,2,1,0,1,5,1.1,0.1,0.1,0,0.3,0.3,1.1,98.2
Boston,7,1,605,367,42,8,2,0,0,0,0,25,0,16,1065,56.80751174,34.4600939,1363,1343,2,0,12,0,3,3,1363,1334,2,12,0,12,0,0,3,0.1,0,0.9,0,0.2,0.2,0.9,98.5
Boston,7,2,799,429,64,13,5,0,0,0,0,26,0,16,1352,59.09763314,31.73076923,1769,1733,9,0,16,1,1,9,1769,1719,9,15,0,16,1,0,9,0.5,0,0.9,0.1,0.1,0.5,0.8,98
Boston,7,3,886,475,69,8,0,0,0,0,0,37,0,21,1496,59.22459893,31.7513369,2133,2048,15,2,32,0,18,18,2133,2019,15,48,2,31,0,2,16,0.7,0.1,1.5,0,0.8,0.8,2.3,96
Boston,7,4,826,333,50,16,0,0,0,0,0,22,0,14,1261,65.5035686,26.40761301,1829,1576,69,2,75,0,64,43,1829,1540,57,115,2,75,0,20,20,3.8,0.1,4.1,0,3.5,2.4,6.3,86.2
Boston,7,5,749,231,56,16,0,0,0,0,0,18,0,11,1081,69.28769658,21.36910268,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.3,0.3,8.2,0.1,5.6,2.6,12,73.9
Boston,7,6,696,202,21,8,0,0,0,0,0,21,0,11,959,72.57559958,21.06360792,1586,1074,160,5,152,1,145,49,1586,992,130,289,1,150,1,6,17,10.1,0.3,9.6,0.1,9.1,3.1,18.2,67.7
Boston,7,7,580,98,7,12,0,0,0,0,0,11,0,4,712,81.46067416,13.76404494,1496,572,404,14,224,3,200,79,1496,363,312,561,6,224,2,5,23,27,0.9,15,0.2,13.4,5.3,37.5,38.2
Boston,7,8,632,167,29,13,0,0,0,0,0,14,0,8,863,73.23290846,19.35110081,1487,1173,97,3,137,0,59,18,1487,1132,94,99,3,137,0,6,16,6.5,0.2,9.2,0,4,1.2,6.7,78.9
Boston,7,9,618,187,25,15,0,0,0,0,0,18,0,10,873,70.79037801,21.42038946,1551,993,159,11,221,1,128,38,1551,937,147,150,7,221,1,60,28,10.3,0.7,14.2,0.1,8.3,2.5,9.7,64
Boston,7,10,835,48,12,12,0,0,0,0,0,7,0,2,916,91.15720524,5.240174672,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.6,0.3,2.5,0.1,37.1,10.7,20.4,17.6
Boston,8,1,706,57,12,8,0,0,0,0,0,5,0,3,791,89.25410872,7.206068268,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.3,0.2,11.9,0.3,17.9,4.2,33,40.3
Boston,8,2,1396,136,23,23,0,0,0,0,0,22,0,12,1612,86.60049628,8.436724566,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.4,0.4,13,0,4.1,1.9,17.9,54.1
Boston,8,3,724,26,11,8,0,0,0,0,0,6,0,6,781,92.70166453,3.329065301,1269,266,715,10,52,0,169,57,1269,180,658,325,6,51,0,21,28,56.3,0.8,4.1,0,13.3,4.5,25.6,21
Boston,8,4,404,9,1,4,0,0,0,0,0,5,0,4,427,94.61358314,2.107728337,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59,0.8,1.7,0,21.4,5.9,36,11.3
Boston,8,5,760,35,6,10,0,0,0,0,0,8,0,2,821,92.57003654,4.263093788,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.2,0.5,2.4,0.2,37.4,11.6,17.7,7.6
Boston,8,6,271,27,7,2,0,0,0,0,0,3,0,4,314,86.30573248,8.598726115,681,144,214,0,10,0,256,57,681,105,186,115,0,10,0,215,50,31.4,0,1.5,0,37.6,8.4,16.9,21.1
Boston,8,7,541,27,4,4,0,0,0,0,0,5,0,7,588,92.00680272,4.591836735,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.6,1,0.9,0,14.4,8.2,30.1,16.9
Boston,9,1,1158,97,24,14,0,0,0,0,0,12,0,14,1319,87.79378317,7.354056103,2092,1030,302,11,436,1,248,64,2092,748,247,633,3,435,0,4,22,14.4,0.5,20.8,0,11.9,3.1,30.3,49.2
Boston,9,2,1129,94,33,15,0,0,0,0,0,26,0,12,1309,86.24904507,7.18105424,2267,1548,353,4,209,0,93,60,2267,1426,334,249,2,209,0,4,43,15.6,0.2,9.2,0,4.1,2.6,11,68.3
Boston,9,3,1914,69,29,17,0,0,0,0,0,15,0,15,2059,92.95774648,3.351141331,3652,1396,1415,13,204,3,428,193,3652,1069,1228,1041,8,203,1,18,84,38.7,0.4,5.6,0.1,11.7,5.3,28.5,38.2
Boston,9,4,1177,57,18,15,0,0,0,0,0,6,0,10,1283,91.7381138,4.442712393,4580,2516,1102,31,402,0,354,175,4580,2235,981,834,16,401,0,23,90,24.1,0.7,8.8,0,7.7,3.8,18.2,54.9
