City/Town,Ward,Pct,Ayanna S. Pressley,Michael E. Capuano,All Others,Blanks,Total Votes Cast
Boston,1,1,212,129,0,12,353
Boston,1,2,121,64,1,8,194
Boston,1,3,276,192,2,22,492
Boston,1,4,73,67,1,2,143
Boston,1,5,115,108,2,5,230
Boston,1,6,129,66,1,5,201
Boston,1,7,108,74,1,4,187
Boston,1,8,141,120,0,8,269
Boston,1,9,110,87,0,10,207
Boston,1,10,61,56,0,7,124
Boston,1,11,123,178,1,17,319
Boston,1,12,108,185,1,17,311
Boston,1,13,125,184,0,22,331
Boston,1,14,57,107,1,6,171
Boston,1,15,0,0,0,0,0
Boston,2,1,205,330,0,14,549
Boston,2,2,219,315,2,20,556
Boston,2,3,182,213,1,5,401
Boston,2,4,140,156,1,17,314
Boston,2,5,154,225,3,6,388
Boston,2,6,177,307,0,15,499
Boston,2,7,142,251,0,10,403
Boston,3,7,518,396,1,16,931
Boston,3,8,623,441,4,40,"1,108"
Boston,4,1,257,252,0,9,518
Boston,4,2,316,317,0,26,659
Boston,4,3,192,152,2,10,356
Boston,4,4,247,201,0,17,465
Boston,4,5,175,163,1,15,354
Boston,4,6,126,89,1,10,226
Boston,4,7,128,104,0,5,237
Boston,4,8,126,99,0,14,239
Boston,4,9,67,28,1,1,97
Boston,4,10,56,17,0,1,74
Boston,5,1,601,409,2,39,"1,051"
Boston,5,2,182,115,0,7,304
Boston,5,2A,115,76,0,7,198
Boston,5,6,150,168,0,8,326
Boston,5,7,182,211,1,7,401
Boston,5,8,197,184,0,7,388
Boston,5,9,227,209,0,7,443
Boston,5,10,133,117,0,11,261
Boston,7,10,170,80,1,58,309
Boston,8,1,184,115,1,18,318
Boston,8,2,295,196,2,18,511
Boston,8,3,156,55,0,10,221
Boston,8,4,119,25,0,9,153
Boston,8,5,203,87,3,68,361
Boston,8,6,70,30,0,27,127
Boston,8,7,124,39,0,8,171
Boston,9,1,286,175,1,44,506
Boston,9,2,353,185,0,28,566
Boston,9,3,487,208,1,57,753
Boston,9,4,192,109,4,10,315
Boston,9,5,422,110,1,20,553
Boston,10,1,140,137,0,42,319
Boston,10,2,95,85,0,9,189
Boston,10,3,102,78,0,9,189
Boston,10,4,215,124,2,106,447
Boston,10,5,185,96,1,5,287
Boston,10,6,222,84,0,41,347
Boston,10,7,352,97,2,71,522
Boston,10,8,372,171,0,24,567
Boston,10,9,428,259,1,18,706
Boston,11,1,194,66,0,7,267
Boston,11,2,338,74,0,15,427
Boston,11,3,225,36,1,2,264
Boston,11,4,459,113,1,18,591
Boston,11,5,317,116,0,22,455
Boston,11,6,334,112,1,6,453
Boston,11,7,421,154,1,9,585
Boston,11,8,485,160,0,7,652
Boston,12,1,369,75,1,8,453
Boston,12,2,396,94,0,13,503
Boston,12,3,156,46,1,8,211
Boston,12,4,204,46,1,4,255
Boston,12,5,156,46,0,12,214
Boston,12,6,216,40,0,12,268
Boston,12,7,388,117,3,26,534
Boston,12,8,119,37,0,10,166
Boston,12,9,172,52,0,7,231
Boston,13,1,234,76,1,37,348
Boston,13,2,74,16,0,5,95
Boston,13,4,162,44,2,11,219
Boston,13,5,164,86,3,45,298
Boston,13,6,181,126,1,20,328
Boston,13,8,156,114,0,10,280
Boston,13,9,172,115,0,13,300
Boston,14,1,325,91,1,27,444
Boston,14,2,357,75,3,20,455
Boston,14,3,170,55,2,8,235
Boston,14,4,198,45,0,8,251
Boston,14,5,149,49,1,7,206
Boston,14,6,146,53,0,4,203
Boston,14,7,161,35,1,4,201
Boston,14,8,252,52,1,9,314
Boston,14,9,148,50,0,11,209
Boston,14,10,191,66,4,9,270
Boston,14,11,199,40,0,12,251
Boston,14,12,114,36,1,3,154
Boston,14,13,191,45,1,4,241
Boston,14,14,199,55,0,11,265
Boston,15,1,215,88,2,27,332
Boston,15,2,148,38,0,22,208
Boston,15,3,78,42,0,10,130
Boston,15,4,223,103,1,67,394
Boston,15,5,182,64,2,17,265
Boston,15,6,74,58,1,11,144
Boston,15,7,169,60,1,25,255
Boston,15,8,114,51,0,15,180
Boston,15,9,124,62,1,15,202
Boston,16,1,118,54,1,4,177
Boston,16,3,245,74,0,10,329
Boston,16,4,167,73,3,6,249
Boston,16,6,288,112,0,13,413
Boston,16,8,214,221,0,15,450
Boston,16,11,205,225,4,29,463
Boston,17,1,198,51,0,13,262
Boston,17,2,153,43,0,8,204
Boston,17,3,347,107,1,13,468
Boston,17,4,382,132,0,11,525
Boston,17,5,157,14,0,2,173
Boston,17,6,282,91,2,9,384
Boston,17,7,140,21,0,3,164
Boston,17,8,230,50,0,12,292
Boston,17,9,246,98,0,6,350
Boston,17,10,277,60,1,6,344
Boston,17,11,121,34,0,0,155
Boston,17,12,183,77,1,7,268
Boston,17,13,260,152,1,13,426
Boston,17,14,325,124,3,16,468
Boston,18,1,381,143,0,14,538
Boston,18,2,251,80,1,11,343
Boston,18,3,341,115,0,13,469
Boston,18,4,317,83,0,26,426
Boston,18,5,362,134,0,25,521
Boston,18,6,426,147,1,15,589
Boston,18,7,232,107,1,5,345
Boston,18,8,396,201,3,21,621
Boston,18,9,273,165,1,21,460
Boston,18,10,407,291,1,11,710
Boston,18,11,199,120,0,11,330
Boston,18,12,211,186,0,29,426
Boston,18,13,165,80,0,14,259
Boston,18,14,151,81,0,5,237
Boston,18,15,262,130,0,18,410
Boston,18,16,239,367,1,22,629
Boston,18,17,240,171,1,19,431
Boston,18,18,299,205,0,41,545
Boston,18,19,343,263,2,26,634
Boston,18,20,273,325,2,47,647
Boston,18,21,360,124,0,21,505
Boston,18,22,288,223,2,23,536
Boston,18,23,195,126,0,18,339
Boston,19,7,494,171,0,10,675
Boston,19,10,350,214,0,16,580
Boston,19,11,238,119,0,14,371
Boston,19,12,258,183,0,11,452
Boston,19,13,178,106,0,11,295
Boston,20,3,171,193,0,29,393
Boston,21,1,188,101,0,2,291
Boston,21,2,33,17,0,2,52
Boston,21,3,111,55,0,4,170
Boston,21,4,119,40,0,3,162
Boston,21,5,199,78,0,3,280
Boston,21,6,140,135,0,2,277
Boston,21,7,172,68,0,4,244
Boston,21,8,253,70,0,2,325
Boston,21,9,180,87,0,4,271
Boston,21,10,178,98,0,13,289
Boston,21,11,209,107,0,7,323
Boston,21,12,204,107,0,20,331
Boston,21,13,197,234,1,30,462
Boston,21,14,131,71,0,0,202
Boston,21,15,171,74,0,4,249
Boston,21,16,180,146,1,5,332
Boston,22,1,213,163,0,10,386
Boston,22,2,277,157,0,10,444
Boston,22,3,243,146,0,9,398
Boston,22,4,164,174,0,9,347
Boston,22,5,109,64,0,4,177
Boston,22,6,120,92,0,2,214
Boston,22,7,191,188,1,8,388
Boston,22,8,82,145,0,5,232
Boston,22,9,180,132,0,4,316
Boston,22,10,214,163,0,5,382
Boston,22,11,115,114,0,8,237
Boston,22,12,110,134,0,8,252
Boston,22,13,107,107,0,8,222
